유형,행정동,통,조각필지수,본체에서_거리(m),상세/사유/지번
미표시,배곧1동,32,,,사유 미상
미표시,배곧2동,1,,,지적도에 해당 지번 없음
미표시,배곧2동,3,,,지적도에 해당 지번 없음
미표시,배곧2동,4,,,지적도에 해당 지번 없음
미표시,배곧2동,5,,,지적도에 해당 지번 없음
미표시,배곧2동,7,,,지적도에 해당 지번 없음
미표시,배곧2동,9,,,지적도에 해당 지번 없음
미표시,배곧2동,12,,,지적도에 해당 지번 없음
미표시,배곧2동,13,,,지적도에 해당 지번 없음
미표시,배곧2동,15,,,지적도에 해당 지번 없음
미표시,배곧2동,16,,,지적도에 해당 지번 없음
미표시,배곧2동,18,,,지적도에 해당 지번 없음
미표시,배곧2동,21,,,지적도에 해당 지번 없음
미표시,배곧2동,22,,,지적도에 해당 지번 없음
미표시,배곧2동,23,,,지적도에 해당 지번 없음
미표시,배곧2동,24,,,지적도에 해당 지번 없음
미표시,배곧2동,25,,,지적도에 해당 지번 없음
미표시,배곧2동,27,,,지적도에 해당 지번 없음
미표시,배곧2동,28,,,지적도에 해당 지번 없음
미표시,배곧2동,29,,,지적도에 해당 지번 없음
미표시,배곧2동,30,,,지적도에 해당 지번 없음
미표시,배곧2동,31,,,지적도에 해당 지번 없음
미표시,배곧2동,32,,,지적도에 해당 지번 없음
미표시,배곧2동,34,,,지적도에 해당 지번 없음
미표시,배곧2동,36,,,지적도에 해당 지번 없음
미표시,배곧2동,37,,,사유 미상
미표시,거북섬동,3,,,지적도에 해당 지번 없음
미표시,거북섬동,4,,,지적도에 해당 지번 없음
미표시,거북섬동,5,,,지적도에 해당 지번 없음
미표시,거북섬동,6,,,지적도에 해당 지번 없음
미표시,거북섬동,7,,,지적도에 해당 지번 없음
미표시,거북섬동,8,,,지적도에 해당 지번 없음
분리/지번오류의심,정왕본동,1,1,4048,정왕동 2044
분리/지번오류의심,정왕본동,1,1,3512,정왕동 2199-2
분리/과대확장의심,정왕3동,25,487,3449,정왕동 1991-1 / 정왕동 1991-2 / 정왕동 1991-3 / 정왕동 1991-4 / 정왕동 1991-5 / 정왕동 1991-6 / 정왕동 1991-7 / 정왕동 1991-8 / 정왕동 1991-9 / 정왕동 1991-10 / 정왕동 1991-11 / 정왕동 1991-12 / 정왕동 1089-4 / 정왕동 1089-3 / 정왕동 1089-2
분리/과대확장의심,정왕본동,1,422,3439,정왕동 1089-4 / 정왕동 1089-3 / 정왕동 1089-2 / 정왕동 1089-1 / 정왕동 1089 / 정왕동 1088-4 / 정왕동 1088-3 / 정왕동 1088-2 / 정왕동 1088-1 / 정왕동 1088 / 정왕동 1087-1 / 정왕동 1087 / 정왕동 1086-2 / 정왕동 1086-1 / 정왕동 1086
분리/지번오류의심,정왕3동,25,6,2925,정왕동 876-721 / 정왕동 876-571 / 정왕동 876-570 / 정왕동 876-364 / 정왕동 876-363 / 정왕동 876-25
분리/지번오류의심,정왕본동,1,6,2925,정왕동 876-721 / 정왕동 876-571 / 정왕동 876-570 / 정왕동 876-364 / 정왕동 876-363 / 정왕동 876-25
분리/지번오류의심,정왕3동,25,2,1885,정왕동 1944 / 정왕동 2141
분리/지번오류의심,월곶동,3,3,1808,월곶동 산153-4 / 월곶동 산153-5 / 월곶동 736
분리/지번오류의심,정왕3동,25,1,1661,정왕동 2139
분리/지번오류의심,정왕3동,25,1,1634,정왕동 2131
분리/지번오류의심,정왕3동,25,6,1614,정왕동 1942-3 / 정왕동 1943 / 정왕동 1945 / 정왕동 1946 / 정왕동 1947 / 정왕동 2168-1
분리/지번오류의심,월곶동,2,1,1553,월곶동 520-134
분리/지번오류의심,정왕3동,25,1,1511,정왕동 1941
분리/블록분리,매화동,7,23,1510,금이동 138-1 / 금이동 138-2 / 금이동 138-3 / 금이동 138-4 / 금이동 138-5 / 금이동 138-6 / 금이동 138-7 / 금이동 138-8 / 금이동 138-9 / 금이동 139 / 금이동 139-1 / 금이동 139-2 / 금이동 139-3 / 금이동 139-4 / 금이동 139-5
분리/지번오류의심,정왕3동,25,2,1436,정왕동 1969 / 정왕동 1970
분리/지번오류의심,정왕3동,25,1,1435,정왕동 1971
분리/지번오류의심,정왕3동,25,1,1384,정왕동 1909
분리/지번오류의심,정왕3동,25,2,1379,정왕동 1948 / 정왕동 1949
분리/지번오류의심,정왕3동,25,2,1358,정왕동 2128 / 정왕동 2130
분리/지번오류의심,매화동,7,8,1332,금이동 39-1 / 금이동 39-2 / 금이동 56-1 / 금이동 56-8 / 금이동 60-1 / 금이동 56-2 / 금이동 59-3 / 금이동 704-14
분리/지번오류의심,월곶동,2,1,1314,월곶동 520-136
분리/블록분리,매화동,7,11,1300,금이동 산119-13 / 금이동 산119-12 / 금이동 산119-10 / 금이동 산119-8 / 금이동 산119-5 / 금이동 산119-2 / 금이동 산119-1 / 금이동 37-7 / 금이동 37-8 / 금이동 산120-1 / 금이동 702
분리/지번오류의심,연성동,1,1,1263,장현동 623
분리/지번오류의심,매화동,7,4,1254,금이동 67-2 / 금이동 산37-1 / 금이동 산38-5 / 금이동 산37-5
분리/지번오류의심,정왕3동,25,2,1252,정왕동 2168-2 / 정왕동 2168-4
분리/지번오류의심,장곡동,1,9,1249,장곡동 307-1 / 장곡동 308-2 / 장곡동 312 / 장곡동 312-6 / 장곡동 312-7 / 장곡동 312-9 / 장곡동 312-10 / 장곡동 779-2 / 장곡동 955
분리/지번오류의심,정왕3동,25,3,1239,정왕동 1966 / 정왕동 1967 / 정왕동 1968
분리/지번오류의심,월곶동,2,2,1209,월곶동 520-372 / 월곶동 520-3
분리/지번오류의심,월곶동,2,1,1207,월곶동 520-399
분리/블록분리,매화동,7,12,1205,금이동 80-1 / 금이동 80-3 / 금이동 80-6 / 금이동 80-7 / 금이동 80-8 / 금이동 산43-2 / 금이동 산43-1 / 금이동 78-3 / 금이동 78-7 / 금이동 78-8 / 금이동 산143-4 / 금이동 714
분리/지번오류의심,정왕3동,25,1,1156,정왕동 1633
분리/지번오류의심,월곶동,3,1,1142,월곶동 산152
분리/지번오류의심,정왕3동,25,3,1106,정왕동 1950 / 정왕동 1951 / 정왕동 1952
분리/블록분리,월곶동,2,12,1101,월곶동 520-374 / 월곶동 520-389 / 월곶동 520-390 / 월곶동 520-391 / 월곶동 520-395 / 월곶동 520-396 / 월곶동 520-202 / 월곶동 520-193 / 월곶동 520-187 / 월곶동 520-186 / 월곶동 520-135 / 월곶동 520-133
분리/지번오류의심,장곡동,1,1,1055,장곡동 367-8
분리/지번오류의심,월곶동,2,1,1049,월곶동 520-100
분리/지번오류의심,정왕1동,34,1,1047,정왕동 1966
분리/지번오류의심,정왕3동,25,6,1016,정왕동 1903 / 정왕동 1904 / 정왕동 1905 / 정왕동 1906 / 정왕동 1907 / 정왕동 1908
분리/지번오류의심,정왕1동,36,1,1007,정왕동 1298
분리/지번오류의심,신현동,20,2,1004,미산동 484-7 / 미산동 484-27
분리/지번오류의심,정왕3동,25,1,1004,정왕동 2168-5
분리/지번오류의심,정왕3동,25,3,998,정왕동 1902 / 정왕동 1867-5 / 정왕동 1899
분리/블록분리,매화동,6,15,982,금이동 601-1 / 금이동 600-6 / 금이동 600-5 / 금이동 600-4 / 금이동 600-2 / 금이동 600-1 / 금이동 595-1 / 금이동 576-2 / 금이동 576-1 / 금이동 576 / 금이동 719-1 / 금이동 601-6 / 금이동 599-1 / 금이동 595-3 / 금이동 577-1
분리/지번오류의심,매화동,6,1,976,금이동 670-1
분리/지번오류의심,정왕3동,25,2,975,정왕동 1964 / 정왕동 1965
분리/지번오류의심,매화동,6,4,954,금이동 27 / 금이동 27-1 / 금이동 27-2 / 금이동 27-3
분리/지번오류의심,매화동,6,4,939,금이동 산18-4 / 금이동 산18-2 / 금이동 산18 / 금이동 산9-5
분리/지번오류의심,정왕3동,25,2,927,정왕동 1953 / 정왕동 1954
분리/지번오류의심,정왕3동,25,1,914,정왕동 1910
분리/지번오류의심,매화동,6,1,904,금이동 548
분리/지번오류의심,정왕3동,25,1,895,정왕동 2127
분리/지번오류의심,정왕1동,34,3,892,정왕동 2122-3 / 정왕동 2122-4 / 정왕동 2128
분리/지번오류의심,대야동,7,6,883,계수동 642-9 / 계수동 642-347 / 계수동 642-283 / 계수동 642-14 / 계수동 456-4 / 계수동 801-1
분리/지번오류의심,정왕3동,25,1,873,정왕동 1901
분리/지번오류의심,정왕3동,25,1,855,정왕동 1795
분리/블록분리,신천동,14,23,854,신천동 877-24 / 신천동 877-23 / 신천동 877-22 / 신천동 877-20 / 신천동 877-19 / 신천동 877-18 / 신천동 877-17 / 신천동 877-16 / 신천동 877-15 / 신천동 877-14 / 신천동 877-13 / 신천동 877-12 / 신천동 877-11 / 신천동 877-10 / 신천동 877-9
분리/지번오류의심,정왕3동,25,1,846,정왕동 1900
분리/지번오류의심,과림동,1,2,828,무지내동 518-4 / 무지내동 518-5
분리/지번오류의심,정왕3동,25,1,813,정왕동 1955
분리/지번오류의심,목감동,15,1,810,논곡동 산23-1
분리/지번오류의심,과림동,3,2,804,과림동 431-1 / 과림동 804-35
분리/지번오류의심,과림동,3,1,786,과림동 545-5
분리/지번오류의심,은행동,1,2,781,은행동 513-20 / 은행동 513-19
분리/지번오류의심,월곶동,2,1,772,월곶동 520-102
분리/지번오류의심,정왕3동,25,1,737,정왕동 1963
분리/지번오류의심,배곧2동,20,1,737,배곧동 44
분리/지번오류의심,정왕3동,25,2,721,정왕동 1956 / 정왕동 1957
분리/블록분리,월곶동,3,13,716,월곶동 산153-1 / 월곶동 산153-2 / 월곶동 산153-6 / 월곶동 산153-7 / 월곶동 359 / 월곶동 361-1 / 월곶동 758 / 월곶동 산68-2 / 월곶동 산68-6 / 월곶동 산68-7 / 월곶동 산69-1 / 월곶동 산70-1 / 월곶동 산70-2
분리/지번오류의심,정왕1동,34,3,712,정왕동 2122-5 / 정왕동 2122-6 / 정왕동 1965
분리/지번오류의심,배곧2동,19,1,709,배곧동 44
분리/지번오류의심,매화동,6,1,708,금이동 616-2
분리/지번오류의심,대야동,7,1,707,계수동 540-1
분리/지번오류의심,정왕3동,25,1,695,정왕동 1911
분리/지번오류의심,정왕3동,25,2,686,정왕동 1912 / 정왕동 1848-3
분리/지번오류의심,과림동,1,2,672,무지내동 495-3 / 무지내동 492-10
분리/지번오류의심,신현동,14,6,666,미산동 717 / 미산동 717-2 / 미산동 717-4 / 미산동 717-5 / 미산동 717-6 / 미산동 717-8
